exam_1_122,exam_2_100
95.57,56.88
74.91,44.95
90,59.63
74.16,58.63
59.02,0
80.67,52.29
81.58,56.97
82.39,62.39
0,51.38
81.93,56.88
81.84,60.1
88.9,68.81
0,0
76.33,55.96
66.68,39.45
75.87,52.29
96.96,83.49
77.44,61.47
69.46,60.55
90.82,77.62
85.87,46.79
94.71,56.88
84.25,61.47
62.26,42.2
45.84,65.14
72.21,66.06
67.44,63.3
86,70.64
90.50,60.55
96.69,54.13
76.17,76.15
96.41,72.48
37.53,43.12
119,90.83
97,72.48
57.64,48.62
89.79,62.39
77.01,43.12
79.62,56.88
76.92,51.38
71.35,50.46
41.57,0
45.95,30.28
86.92,68.81
46.08,28.44
74.2,60.55
47.31,60.55
98,84.54
106.76,72.48
0,0
74.31,41.28
51.79,38.53
0,0
100.29,64.22
108.69,86.24
77.51,0
64.62,0
93.69,56.88
62.87,0
0,0
