"","hrs.sleep.weekly","cups.caffeine.weekly","hrs.exercise.weekly","hrs.work.weekly","hrs.screentime.weekly"
"1",45,6,3,21,20
"2",49,10,0,15,14
"3",46,14,2.5,15,30
"4",48,5,2,22,35
"5",49,1,3,10,25
"6",42,0,15,32,30
"7",50,2,4,12,12
"8",42,6,4,6.5,14
"9",20,2,4,24,98
"10",50,8,0,40,55
"11",49,2,2,12,25
"12",56,10,10,16,30
"13",49,6,3,24,14
"14",40,6,21,4,21
"15",56,14,4,39,20
"16",42,0,10.5,20,10.5
"17",45,28,5,20,20
"18",49,7,0,40,28
"19",50,21,10,25,30
"20",56,21,10,15,14
"21",46,16,3,16,20
"22",56,2,10,24,14
"23",35,8,10,27,12
"24",38,4,6,35,25
"25",56,6,7,28,30
"26",56,0,4,17,42
"27",53,9,3,27,38
"28",40,4,10,25,30
"29",42,5,3,24,35
"30",50,2,5,25,25
