Age,Gender,Education,Religion,Political,Pregnant,Catch_response,FILTER,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_Catch,Q13,Q14,Q15,Q16_Catch,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Mean_general_ds,Mean_core,Mean_Animal_reminder,Mean_Contamination
38,1,13,1,1,1,1,1,3,4,3,4,1,0,4,2,4,0,1,4,4,4,4,0,4,2,3,1,4,4,3,4,3,3,4,2.913043478,2.727272727,3,3.25
55,1,15,2,0,1,1,1,0,3,4,0,3,2,1,4,1,3,1,4,4,3,2,0,1,1,2,3,3,3,3,4,1,1,0,2.260869565,2.363636364,2.625,1.25
62,1,15,2,0,1,1,1,0,1,3,3,2,2,3,4,4,0,4,4,4,0,1,0,2,2,3,3,3,3,4,2,3,1,3,2.608695652,3,1.75,3.25
67,1,14,1,1,1,1,1,2,0,1,4,1,4,3,4,4,3,2,4,4,2,3,0,1,4,3,4,3,3,2,4,3,3,3,2.652173913,2.636363636,2.25,3.5
28,1,15,0,1,1,1,1,0,3,2,2,2,2,0,1,0,2,0,4,1,0,2,0,1,0,0,1,0,1,0,2,0,1,2,1.130434783,1.272727273,1.25,0.5
23,0,15,0,1,1,1,1,0,3,4,3,3,0,4,4,4,0,3,4,4,4,3,0,1,1,3,4,4,4,4,4,3,4,4,3.086956522,3.090909091,3.125,3
51,0,15,0,1,1,1,1,0,1,3,4,3,1,4,4,3,0,1,4,4,4,3,0,1,2,4,2,4,4,3,4,3,3,2,2.913043478,2.818181818,3,3
30,0,15,0,2,1,1,1,3,0,2,4,0,3,2,2,2,2,2,4,4,3,3,0,1,1,0,1,2,0,1,0,1,1,4,1.739130435,2,1.25,2
24,0,12,2,0,1,1,1,3,0,1,4,1,2,4,1,1,1,1,4,4,4,4,0,3,0,2,1,2,2,0,3,2,0,2,2.130434783,2.181818182,2.5,1.25
30,1,15,0,1,1,1,1,3,4,2,4,2,1,4,0,0,2,0,4,1,2,1,0,1,0,2,1,4,4,3,4,2,2,1,2.130434783,1.545454545,3.125,1.75
27,0,16,0,2,1,1,1,4,0,4,4,3,3,0,4,0,0,2,4,0,3,4,0,1,0,1,0,3,2,0,1,0,0,4,1.652173913,2.090909091,1.375,1
26,0,12,0,1,1,1,1,0,3,3,3,0,2,3,3,3,2,0,4,3,1,3,0,1,1,3,0,2,4,1,2,1,2,3,2.130434783,2.181818182,2.125,2
37,0,17,0,1,1,1,1,3,1,3,3,3,1,4,3,1,0,0,4,4,4,3,0,3,0,4,1,4,2,2,2,1,0,3,2.391304348,2.454545455,2.75,1.5
40,0,17,0,2,1,1,1,0,3,1,2,0,2,1,2,4,4,1,4,2,2,3,0,4,1,0,1,3,3,2,2,2,3,1,1.913043478,2.090909091,1.5,2.25
24,1,15,0,1,1,1,1,4,2,2,2,0,2,3,3,2,3,0,4,0,0,2,1,2,2,0,4,2,0,2,0,2,0,0,1.52173913,1.636363636,1.125,2
25,1,14,1,0,1,1,1,2,4,2,2,4,2,4,4,1,2,3,4,4,4,4,0,2,0,4,0,4,3,1,4,4,0,1,2.826086957,2.727272727,3.875,1
24,0,15,2,0,1,1,1,0,3,3,4,1,3,3,2,2,1,4,4,4,3,2,0,2,1,2,2,1,4,0,3,2,1,3,2.47826087,2.727272727,2.5,1.75
21,0,12,1,0,1,1,1,0,1,3,2,2,4,4,3,2,0,3,4,3,4,3,0,2,0,1,2,3,3,3,2,2,0,4,2.304347826,2.636363636,2.125,1.75
24,1,12,2,2,1,1,1,4,3,3,0,4,3,3,2,4,4,3,4,3,0,3,0,2,0,3,4,4,0,1,0,3,0,2,2.173913043,2.454545455,2.25,1.25
38,0,12,0,2,1,1,1,0,3,0,4,3,4,4,3,0,4,3,4,4,4,1,0,1,1,4,0,4,1,3,3,0,1,2,2.173913043,1.454545455,3.25,2
41,1,15,0,0,1,1,1,3,1,3,4,3,4,4,4,3,0,1,4,4,4,1,1,4,2,3,2,4,3,3,4,2,2,3,2.739130435,2.545454545,2.875,3
26,0,15,0,2,1,1,1,0,4,4,4,4,0,4,4,4,0,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,3.47826087,3.636363636,3.5,3
20,0,12,2,0,1,1,1,3,4,4,3,2,1,4,4,2,1,4,4,4,4,4,0,1,2,4,3,3,4,3,3,4,4,4,3.391304348,3.636363636,3.5,2.5
27,0,,0,1,1,1,0,4,4,4,1,3,3,4,4,2,1,4,4,4,2,4,0,3,0,4,3,2,3,3,4,4,0,4,,,,
20,0,12,0,0,1,1,1,0,1,3,4,1,4,4,4,3,2,4,4,2,0,2,0,2,2,3,4,4,4,1,2,3,2,2,2.565217391,2.818181818,2.25,2.5
23,0,12,0,0,1,1,1,0,1,3,0,0,0,1,4,4,2,0,4,4,4,3,0,1,0,4,4,2,4,0,0,0,0,0,1.826086957,2.090909091,1.875,1
40,0,16,0,2,1,1,1,0,0,2,4,0,1,0,2,2,3,0,4,0,0,1,1,1,1,2,0,2,3,2,1,2,0,1,1.391304348,1.454545455,0.875,2.25
35,1,15,0,1,1,1,1,4,0,3,4,0,0,3,3,2,1,0,4,3,3,3,0,2,0,1,2,3,3,1,1,3,0,3,2.043478261,2.272727273,1.875,1.75
62,0,16,0,2,1,1,1,3,4,1,0,0,2,4,3,4,0,3,4,1,4,1,0,2,2,4,0,4,4,1,2,4,0,3,2.347826087,2.272727273,2.75,1.75
34,0,12,0,2,1,1,1,0,0,3,4,1,1,1,3,1,2,0,4,4,3,3,0,2,0,2,2,1,4,4,1,3,4,4,2.304347826,2.909090909,1.5,2.25
43,0,16,0,1,1,1,1,4,0,3,4,0,4,4,4,4,2,4,4,0,0,3,0,1,0,2,0,4,4,0,0,1,0,3,1.956521739,2.181818182,1.625,2
33,1,14,0,0,1,1,1,0,0,2,4,0,1,2,4,1,0,0,4,1,0,0,0,1,0,3,1,4,2,2,2,2,0,0,1.52173913,1.545454545,1.375,1.75
21,0,12,2,0,1,1,1,0,1,1,1,1,0,3,4,3,3,3,4,2,2,2,1,3,0,4,2,3,3,3,1,1,2,2,2.043478261,2.090909091,2.125,1.75
21,0,12,2,0,1,1,1,0,1,0,3,1,0,3,3,0,2,4,4,4,3,2,0,3,0,4,1,3,2,2,2,1,1,2,2.043478261,2,2.5,1.25
42,0,16,0,1,1,1,1,0,4,3,4,3,1,4,4,3,2,0,4,4,4,4,0,1,4,4,1,4,3,3,1,3,2,1,3,2.545454545,3.375,3.5
24,1,12,0,1,1,1,1,3,3,3,4,3,1,2,2,0,4,0,4,3,3,0,0,2,0,3,2,4,1,0,1,2,0,1,1.913043478,1.818181818,2.5,1
59,0,14,0,0,1,1,1,0,4,0,0,4,1,0,1,0,3,2,4,0,1,1,0,1,1,2,1,1,4,1,1,0,0,1,1.391304348,1.363636364,1.875,0.5
60,1,12,0,0,1,1,1,1,3,2,2,1,4,3,1,4,4,4,4,4,0,2,0,2,1,3,0,1,3,4,1,1,0,3,2.043478261,2.090909091,1.625,2.75
22,1,12,0,2,1,1,1,3,1,1,2,0,3,2,3,0,0,1,4,1,3,2,0,3,0,4,0,4,4,0,0,0,1,4,1.608695652,1.909090909,1.75,0.5
34,1,12,1.5,0,1,1,1,0,4,4,1,3,4,4,4,4,0,4,4,4,4,3,0,3,1,4,1,4,3,4,4,2,1,4,3.043478261,3,3.375,2.5
32,0,12,0,1,1,1,1,3,2,1,4,3,3,4,3,0,3,3,4,0,3,0,0,1,0,3,0,4,4,3,4,3,4,2,2.217391304,1.727272727,3.125,1.75
58,1,16,0,2,1,1,1,4,1,3,3,0,1,3,1,4,4,1,4,2,1,3,1,3,0,2,0,3,2,0,0,3,0,1,1.782608696,2.090909091,1.375,1.75
27,1,,2,0,1,1,0,0,4,4,2,1,2,4,3,2,1,3,4,4,0,1,0,1,0,3,3,4,1,1,4,1,0,4,,,,
27,0,17,0,0,1,1,1,4,0,4,4,0,3,0,2,3,1,0,4,2,0,1,0,3,3,1,0,0,4,2,1,2,0,3,1.782608696,2.090909091,0.75,3
28,0,15,0,1,1,1,1,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0,2,0,4,0,4,3,3,3,3,0,2,2.869565217,2.454545455,3.5,2.75
27,0,6,0,0,1,1,1,3,0,4,4,2,3,3,4,2,2,4,4,4,3,3,0,3,4,4,0,1,4,3,2,2,0,2,2.739130435,2.909090909,2.25,3.25
55,1,12,0,2,1,1,1,3,0,0,0,0,2,0,1,3,0,0,4,0,0,0,0,1,0,3,0,1,3,0,0,0,0,0,0.652173913,0.727272727,0.5,0.75
39,1,15,0,2,1,1,1,3,3,2,2,0,2,3,4,0,1,3,4,0,3,4,0,3,0,1,3,3,3,3,3,4,2,3,2.47826087,2.909090909,2.5,1.25
31,1,14,1,2,1,1,1,2,3,3,1,1,4,4,2,3,1,3,4,4,4,4,0,2,0,4,4,4,4,2,4,2,0,1,2.782608696,2.727272727,3.5,1.5
55,1,12,0,0,1,1,1,3,3,0,4,4,1,4,0,1,1,0,4,4,3,4,0,3,4,4,4,4,4,4,4,3,0,4,3.173913043,2.727272727,3.75,3.25
24,1,15,1,0,1,1,1,0,4,3,4,0,0,4,4,3,0,3,4,4,4,2,0,2,1,4,4,4,4,0,4,4,0,4,2.869565217,3.090909091,3,2
20,0,12,1,1,1,1,1,0,1,4,4,0,0,3,0,0,3,0,4,3,2,1,0,2,0,3,0,0,2,0,1,2,3,2,1.391304348,1.454545455,1.5,1
31,0,16,0,0,1,1,1,3,1,3,4,0,0,4,1,1,0,4,4,1,1,1,0,3,3,4,0,4,3,0,2,1,0,4,1.956521739,1.909090909,2,2
28,1,14,1,1,1,1,1,4,0,0,2,4,1,0,4,0,1,4,4,2,0,0,0,0,0,3,0,0,4,4,0,2,0,0,1.608695652,1.818181818,1.375,1.5
38,1,18,0,1,1,1,1,3,4,0,4,0,2,4,4,4,0,0,4,4,1,3,0,2,0,2,2,4,4,0,1,1,0,2,2.130434783,2.272727273,2,2
28,0,19,0,1,1,1,1,0,0,0,4,0,0,1,1,3,3,4,4,4,3,4,0,2,0,0,3,0,4,4,0,1,0,4,1.913043478,2.454545455,0.75,2.75
62,1,16,0,1,1,1,1,0,3,4,4,0,0,4,4,4,0,1,4,4,3,3,1,3,0,4,1,4,3,4,4,4,1,1,2.695652174,2.545454545,2.75,3
31,0,15,0,2,1,1,1,4,3,3,3,0,4,3,0,0,0,0,4,0,0,3,0,1,1,2,4,3,3,1,3,2,0,3,1.695652174,1.818181818,1.75,1.25
22,0,12,0,1,1,1,1,0,0,2,2,0,4,0,4,0,3,1,4,2,2,2,0,4,0,4,3,4,2,3,2,2,1,1,1.869565217,2.181818182,1.75,1.25
17.5,0,11,1,2,1,1,1,0,1,4,4,0,0,4,3,3,0,4,4,4,4,4,0,4,1,4,4,4,4,3,4,4,1,4,3.086956522,3.545454545,2.625,2.75
54,0,13,0,2,1,1,1,4,0,2,4,0,1,4,3,4,2,4,4,0,0,2,0,1,0,4,0,3,4,2,2,4,0,4,2.347826087,2.545454545,2,2.5
19,0,12,0,1,1,1,1,0,4,4,4,4,0,4,4,4,0,0,4,4,4,4,0,4,0,4,4,4,4,4,4,4,0,4,3.304347826,3.272727273,3.5,3
45,1,12,0,2,1,1,1,3,1,4,3,0,3,4,4,4,0,2,4,4,4,2,0,3,1,1,3,4,2,3,1,2,0,1,2.391304348,2.636363636,1.875,2.75
29,1,15,0,2,1,1,1,0,4,3,2,1,0,4,2,0,2,3,4,4,3,4,1,1,1,4,2,4,3,2,3,2,4,4,2.565217391,2.545454545,3.25,1.25
26,0,12,0,0,1,1,1,0,3,4,4,0,4,1,3,2,4,3,4,4,3,4,0,4,1,2,1,1,3,3,3,3,4,3,2.47826087,3,1.75,2.5
28,1,12,2,0,1,1,1,0,0,1,4,1,4,4,2,3,3,0,4,2,3,3,0,2,1,4,2,4,4,3,3,1,2,4,2.347826087,2,2.625,2.75
53,0,17,0,2,1,1,1,4,0,3,4,0,2,3,3,1,2,3,4,2,2,2,0,2,2,2,0,3,2,1,2,2,0,2,2.043478261,2.181818182,1.875,2
22,1,12,0,1,1,1,1,3,2,2,1,0,1,3,1,0,2,0,4,2,3,2,1,1,1,1,2,3,1,2,2,1,0,1,1.652173913,1.545454545,2.125,1
33,0,12,0,0,1,1,1,1,4,2,4,0,2,4,3,0,0,0,4,4,4,4,0,2,1,4,0,2,4,4,3,2,0,4,2.52173913,2.545454545,2.625,2.25
19,0,12,2,0,1,1,1,0,1,0,4,0,4,1,3,1,4,0,4,3,0,1,0,2,0,3,1,1,3,0,1,1,1,2,1.304347826,1.545454545,1,1.25
38,0,16,0,2,1,1,1,0,3,4,4,2,0,4,3,2,0,4,4,4,1,4,0,3,1,4,0,4,3,2,1,1,0,4,2.52173913,2.727272727,2.375,2.25
