Age,Gender,Education,Religion,Political,Pregnant,Mean_general_ds
38,1,13,1,1,1,2.913043478
55,1,15,2,0,1,2.260869565
62,1,15,2,0,1,2.608695652
67,1,14,1,1,1,2.652173913
28,1,15,0,1,1,1.130434783
23,0,15,0,1,1,3.086956522
51,0,15,0,1,1,2.913043478
30,0,15,0,2,1,1.739130435
24,0,12,2,0,1,2.130434783
30,1,15,0,1,1,2.130434783
27,0,16,0,2,1,1.652173913
26,0,12,0,1,1,2.130434783
37,0,17,0,1,1,2.391304348
40,0,17,0,2,1,1.913043478
24,1,15,0,1,1,1.52173913
25,1,14,1,0,1,2.826086957
24,0,15,2,0,1,2.47826087
21,0,12,1,0,1,2.304347826
24,1,12,2,2,1,2.173913043
38,0,12,0,2,1,2.173913043
41,1,15,0,0,1,2.739130435
26,0,15,0,2,1,3.47826087
20,0,12,2,0,1,3.391304348
20,0,12,0,0,1,2.565217391
23,0,12,0,0,1,1.826086957
40,0,16,0,2,1,1.391304348
35,1,15,0,1,1,2.043478261
62,0,16,0,2,1,2.347826087
34,0,12,0,2,1,2.304347826
43,0,16,0,1,1,1.956521739
33,1,14,0,0,1,1.52173913
21,0,12,2,0,1,2.043478261
21,0,12,2,0,1,2.043478261
42,0,16,0,1,1,3
24,1,12,0,1,1,1.913043478
59,0,14,0,0,1,1.391304348
60,1,12,0,0,1,2.043478261
22,1,12,0,2,1,1.608695652
34,1,12,1.5,0,1,3.043478261
32,0,12,0,1,1,2.217391304
58,1,16,0,2,1,1.782608696
27,0,17,0,0,1,1.782608696
28,0,15,0,1,1,2.869565217
27,0,6,0,0,1,2.739130435
55,1,12,0,2,1,0.652173913
39,1,15,0,2,1,2.47826087
31,1,14,1,2,1,2.782608696
55,1,12,0,0,1,3.173913043
24,1,15,1,0,1,2.869565217
20,0,12,1,1,1,1.391304348
31,0,16,0,0,1,1.956521739
28,1,14,1,1,1,1.608695652
38,1,18,0,1,1,2.130434783
28,0,19,0,1,1,1.913043478
62,1,16,0,1,1,2.695652174
31,0,15,0,2,1,1.695652174
22,0,12,0,1,1,1.869565217
17.5,0,11,1,2,1,3.086956522
54,0,13,0,2,1,2.347826087
19,0,12,0,1,1,3.304347826
45,1,12,0,2,1,2.391304348
29,1,15,0,2,1,2.565217391
26,0,12,0,0,1,2.47826087
28,1,12,2,0,1,2.347826087
53,0,17,0,2,1,2.043478261
22,1,12,0,1,1,1.652173913
33,0,12,0,0,1,2.52173913
19,0,12,2,0,1,1.304347826
38,0,16,0,2,1,2.52173913
61,1,12,0,1,1,2.608695652
59,1,19,0,2,1,1.173913043
28,0,15,0,1,1,2.130434783
25,0,15,0,2,1,1.52173913
64,1,12,1,0,1,2.304347826
29,1,16,2,0,1,1.304347826
22,1,12,1,2,1,2.304347826
19,1,12,0,0,1,2.043478261
29,0,16,0,1,1,2.869565217
56,0,17,1,0,1,2.434782609
28,0,12,1,1,1,3.391304348
37,1,18,0,2,1,1.652173913
19,0,12,0,1,1,3.52173913
20,0,12,0,1,1,3.043478261
28,0,15,0,1,1,2.304347826
25,1,12,0,2,1,1.47826087
30,1,12,0,2,1,1.739130435
20,1,14,0,1,1,1.913043478
30,1,16,0,1,1,1.695652174
42,1,12,1,1,1,2
29,1,15,0,1,1,2.913043478
32,0,15,0,0,1,2.565217391
32,0,15,1,1,1,3.434782609
29,0,17,0,2,1,1.913043478
