subject_id,condition,proportion_correct,time_at_bin
1,1,0.666666667,36.9
2,1,0.666666667,3.3
3,1,0.666666667,173
4,1,0,31.2
5,1,0.666666667,21.8
6,1,0.5,55.5
7,1,0,16.6
8,1,1,18.7
9,1,1,43.9
10,1,0.166666667,47.3
11,1,0.833333333,37.7
12,1,0.5,31.9
13,1,0.666666667,40.4
14,1,0.833333333,79
15,1,1,27
16,1,0.666666667,255.9
17,1,1,29.8
18,1,0.666666667,29.3
19,1,0,79.5
20,1,0.666666667,28.7
21,1,0.166666667,50.1
22,1,0.666666667,74.4
23,2,1,47.2
24,2,0.833333333,29.2
25,2,0.833333333,57.9
26,2,1,15.3
27,2,1,40.7
28,2,0.833333333,37.9
29,2,1,59.7
30,2,1,52.9
31,2,1,26.9
32,2,0.833333333,71.2
33,2,0.833333333,75.9
34,2,1,17.1
35,2,0.833333333,15.8
36,2,0.666666667,109.5
37,2,0.666666667,50.9
38,2,1,36.9
39,2,1,36.4
40,2,0,32
41,2,0.833333333,55.2
42,2,1,41.7
43,2,0.666666667,43.1
44,2,1,31.3
