ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
2,City Parkway On-Street,#010,14512,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 8:00 PM,7 Days/Week,1,,2,,,4302,Surrey,On,On-Street Parking,9,10388 City Parkway,Cash/Credit Card/PayByPhone,,49.190703,-122.847543
7,Newton Town Centre,#038,14764,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,1,$2.00,All Day,,,4355,Surrey,On,On-Street Parking,107,13791 72 Ave,Cash/Credit Card/PayByPhone,,49.134543,-122.839256
7,Newton Town Centre,#037,14763,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,1,$2.00,All Day,,,4355,Surrey,On,On-Street Parking,107,13725 72A Ave,Cash/Credit Card/PayByPhone,,49.134786,-122.840232
7,Newton Town Centre,#034,14760,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,1,$2.00,All Day,,,4355,Surrey,On,On-Street Parking,107,13757 72 Ave,Cash/Credit Card/PayByPhone,,49.133682,-122.840277
7,Newton Town Centre,#036,14762,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,1,$2.00,All Day,,,4355,Surrey,On,On-Street Parking,107,13725 72A Ave,Cash/Credit Card/PayByPhone,,49.134856,-122.84137
7,Newton Town Centre,#033,14759,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,1,$2.00,All Day,,,4355,Surrey,On,On-Street Parking,107,13764 72 Ave,Cash/Credit Card/PayByPhone,,49.133485,-122.840687
7,Newton Town Centre,#035,14761,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,1,$2.00,All Day,,,4355,Surrey,On,On-Street Parking,107,1238 137 St,Cash/Credit Card/PayByPhone,,49.134791,-122.842104
23,133/133A Street On-Street,#064,520014451698,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,1,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10388 133 St,Credit Card/PayByPhone,,49.190964,-122.854144
24,105/105A Avenue On-Street,#071,520014451705,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,1,$4.00,All Day,,,4318,Surrey,On,On-Street Parking,111,10519 134A St,Cash/Credit Card/PayByPhone,,49.193663,-122.849601
24,105/105A Avenue On-Street,#073,520014451706,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,1,$4.00,All Day,,,4318,Surrey,On,On-Street Parking,111,10492 134A St,Cash/Credit Card/PayByPhone,,49.193213,-122.849063
