fish,sl,eye,pec,pel,month,year,side,location,time
42,57.15,4.04,10.28,8.11,7,2003,L,PAS3,Pre
42,57.17,4.06,10.31,8.12,7,2003,L,PAS3,Pre
43,54.61,3.81,9.89,7.42,8,2003,L,PAS3,Pre
43,54.62,3.83,9.88,7.4,8,2003,L,PAS3,Pre
44,64.48,4.34,11.03,7.81,6,2003,L,PAS3,Pre
44,64.47,4.36,11.02,7.82,6,2003,L,PAS3,Pre
45,49.99,3.67,8.8,6.97,8,2003,L,PAS3,Pre
45,50.01,3.66,8.83,6.98,8,2003,L,PAS3,Pre
46,43.32,3.04,6.78,5.67,9,2003,L,PAS3,Pre
46,43.31,3.03,6.75,5.67,9,2003,L,PAS3,Pre
47,55.16,3.9,9.3,6.85,7,2003,L,PAS3,Pre
47,55.13,3.93,9.35,6.83,8,2003,L,PAS3,Pre
48,38.73,2.66,5.58,4.37,9,2003,L,PAS3,Pre
48,38.71,2.64,5.57,4.39,9,2003,L,PAS3,Pre
50,63.68,4.56,11.66,8.5,6,2003,L,PAS3,Pre
50,63.66,4.56,11.69,8.51,6,2003,L,PAS3,Pre
51,40.85,2.63,6.82,5.16,9,2003,L,PAS3,Pre
51,40.83,2.66,6.87,5.11,9,2003,L,PAS3,Pre
52,41.66,2.8,6.3,5.6,9,2003,L,PAS3,Pre
52,41.64,2.78,6.3,5.62,9,2003,L,PAS3,Pre
53,52.68,3.89,8.86,7.11,8,2003,L,PAS3,Pre
53,52.61,3.88,8.88,7.11,8,2003,L,PAS3,Pre
54,61.22,4.49,11.3,8.71,7,2003,L,PAS3,Pre
54,61.21,4.49,11.33,8.67,7,2003,L,PAS3,Pre
55,60.4,4.11,10.65,8.28,7,2003,L,PAS3,Pre
55,60.47,4.1,10.69,8.28,7,2003,L,PAS3,Pre
56,60.78,4.09,10.89,7.91,7,2003,L,PAS3,Pre
56,60.72,4.11,10.86,7.91,7,2003,L,PAS3,Pre
57,57.48,4.15,10.78,7.82,7,2003,L,PAS3,Pre
57,57.49,4.2,10.76,7.84,7,2003,L,PAS3,Pre
58,67.31,4.47,10.39,7.25,6,2003,L,PAS3,Pre
58,67.33,4.46,10.36,7.28,6,2003,L,PAS3,Pre
59,58.65,4.19,10.35,6.92,7,2003,L,PAS3,Pre
59,58.64,4.19,10.35,6.91,7,2003,L,PAS3,Pre
60,54.95,4,9.83,7.29,8,2003,L,PAS3,Pre
60,54.96,4.01,9.86,7.29,8,2003,L,PAS3,Pre
61,63.53,4.33,10.84,7.73,6,2003,L,PAS3,Pre
61,63.55,4.32,10.84,7.79,6,2003,L,PAS3,Pre
117,57.49,4.14,10.59,7.1,6,2004,L,PAS1,Pre
117,57.46,4.14,10.61,7.13,6,2004,L,PAS1,Pre
118,58.02,4.19,10.7,7.15,6,2004,L,PAS1,Pre
118,58.04,4.2,10.71,7.17,6,2004,L,PAS1,Pre
119,55.65,4.25,10.06,6.08,6,2004,L,PAS1,Pre
119,55.66,4.24,10.06,6.09,6,2004,L,PAS1,Pre
120,50.93,3.96,9.94,6.08,7,2004,L,PAS1,Pre
120,50.94,3.98,9.95,6.07,7,2004,L,PAS1,Pre
121,60.92,4.32,10.88,7.14,6,2004,L,PAS1,Pre
121,60.92,4.32,10.89,7.15,6,2004,L,PAS1,Pre
122,50.84,4.03,9.52,6.59,7,2004,L,PAS1,Pre
122,50.83,4.04,9.5,6.56,7,2004,L,PAS1,Pre
123,55.53,4.03,9.97,6.43,6,2004,L,PAS1,Pre
123,55.52,4.02,9.99,6.45,6,2004,L,PAS1,Pre
124,53.45,4.11,10.36,6.79,7,2004,L,PAS1,Pre
124,53.45,4.12,10.35,6.77,7,2004,L,PAS1,Pre
125,51.12,3.72,9.44,6.05,7,2004,L,PAS1,Pre
125,51.14,3.73,9.43,6.07,7,2004,L,PAS1,Pre
126,51.54,4,9.68,6.4,7,2004,L,PAS1,Pre
126,51.56,4,9.68,6.44,7,2004,L,PAS1,Pre
127,54.69,3.81,10.08,6.9,6,2004,L,PAS1,Pre
127,54.66,3.82,10.08,6.91,6,2004,L,PAS1,Pre
128,49.27,3.98,9.75,6.22,7,2004,L,PAS1,Pre
128,49.25,3.95,9.78,6.21,7,2004,L,PAS1,Pre
129,46.44,3.87,8.62,6.12,7,2004,L,PAS1,Pre
