,js_code,ct_code,country,KII,fs_complexityIND_wop,fs_cousin_pref_cont_est2,fs_polygyny_cont,fs_polygyny_cont_std2,fs_localdom_est,fs_lineage,fs_clan,fs_year,ChurchExpWest,ChurchExpEast,bit_consang,bit_c_ln,bit_collectperiod,hfs_idv_std,swz_embed_std,wvs_dp_s_creative_C_std,wvs_obedience,wvs_dp_s_tradition_C_std,wvs_dp_s_behave_C_std_,wvs_OutInTrust_std,wvs_trust_std,wvs_fair_std,wvs_religion_imp,wvs_family_ties_std,BloodEstPopVol,BloodfracFam,fm_lviol_pc,va_nepotism,htg_cP_perc,htg_cNfirstperiod_perc,ms_perc_errors,gel_Tightnessscore,tal_holistic,hru_particularism,gs_percent_high,ag_pd1,ag_pd1000,ag_pd1500,ag_pdiv_aa,ag_yst_aa,ag_abslat,ag_distcr,ag_continent,ag_ln_gdppc2000,ft_CombinedParasiteStress,bar_CATH00,bar_PROT00,bar_OTHCHRIST00,bar_ORTH00,bar_MUSLIM00,bar_HINDU00,bar_BUDDIS00,irri_impact5,du_caloricsui,du_oat_rain,du_rye_rain,nu_rugged,nu_lat,nu_lon,nu_tropical,geodist_coord1,geodist_coord2,gendist_coord1,gendist_coord2,tal_analytic,IIP
0,ABW,533.0,Aruba,-0.9893744,-0.8704458,0.0,0.0,-1.106798,0.33333334,0.0,0.5,1945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44332135,0.88664275,1.329964,,,12.5,,Americas,,,,,,,,,,1.0,,,,0.4624279433530184,12.507837801,-69.9695089457,100.0,-8849.051,24.185295,,,,
1,AFG,4.0,Afghanistan,1.0345825,1.1665865,2.778012,1.1617769,0.3665348,0.82737607,1.0,0.190326,1918.4921,0.0,0.0,42.3,3.744787,2010.0,,,,,,,,,,,,3.1956286,0.59599733,,,,,,,,,,3.0670612,3.450444,3.0670612,0.7289718,8750.0,33.0,0.942351,Asia,6.1698290135355975,1.740401,0.0,0.0,0.0,0.0,0.981,0.004,0.0,0.7249709,565.081,2078.78,3541.78,2.518146183415607,33.8331893308,66.0255342576,0.0,6325.1187,1920.543,-0.011137386,0.00015081209,,-0.6821067
2,AGO,24.0,Angola,1.0739911,0.94832975,1.4968313,1.8243768,1.2068255,0.63425374,0.998075,0.8895973,1923.5312,0.103880994,0.0,,,,-0.94904387,,,,,,,,,,,0.5087627,0.88600427,4.4273467,,,,,,,,,0.19119325,0.764773,1.529546,0.7477829,1356.99,12.5,0.481495,Africa,7.58831222825428,4.8074737,0.621,0.15,0.169,0.0,0.0,0.0,0.0,0.023712251,1779.57,0.0,0.0,0.8582158579480259,-12.2986183993,17.5509049456,44.34624572755408,844.8671,-2866.9626,0.03640764,0.006262116,,-1.1577145
3,AIA,660.0,Anguilla,1.3912995,1.2703141,1.0,2.0,1.4295459,1.0,1.0,1.0,1960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1607.79,0.0,0.0,0.012553408218722329,18.2306165461,-63.0643934552,99.99999999999999,-8069.8774,621.21356,,,,
4,ALB,8.0,Albania,0.79295874,0.61048007,1.8277673,1.7995368,1.1753241,0.79501134,0.8997684,0.0,1902.5461,0.0,5.48947,,,,-0.8580641,,,43.815456,,,,-0.4927193,-1.5003791,1.6318234,0.6531767,2.3519168,0.6286262,4.460662,0.88,,,,,,,,7.29927,7.29927,7.29927,0.7405723,7518.0,41.0,0.077544294,Europe,8.241915257208632,-3.0398307,0.168,0.006,0.02,0.161,0.388,0.0,0.0,0.02016182,1939.05,6789.95,10925.3,3.42705827646093,41.1426753162,20.070057964,0.0,1221.3523,2653.48,-0.007871333,-0.013581945,,-0.89050776
5,AND,20.0,Andorra,-1.5565428,-1.572484,0.0,0.0,-1.106798,0.0,0.0,0.0,1943.3334,,,,,,,,1.4530345,39.481556,-1.5564374,-1.2139604,1.5360297,-0.3872799,-0.15275703,0.966,,,,,,,,,,,,,,,,,,42.5,,Europe,,-3.039085,0.892,0.002,0.041,0.0,0.006,0.005,0.0,,218.576,1222.07,1922.09,5.717271228973735,42.550659602,1.57623553894,0.0,-835.03046,2805.93,,,,1.148784
6,ANT,530.0,Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44332135,0.88664275,1.329964,,,12.25,,Americas,9.547840944036187,,,,,,,,,1.0,,,,0.254913278626955,12.7254594088,-68.1574698547,74.55539439894733,-8646.957,44.17118,,,,
7,ARE,784.0,United Arab Emirates,1.0612383,1.0632725,3.0,1.5,0.79545987,0.5,1.0,0.5,1925.0,0.0,0.0,33.76666666666667,3.519474,2002.5,-0.6306147,,,,,,,,,,,11.545292,0.005836203,0.0,-0.52,,,,,,,,,0.88393885,0.88393885,0.73786384,7500.0,24.0,0.102625,Asia,10.379152555373476,-1.8332642,0.051,0.009,0.021,0.029,0.756,0.078,0.02,1.0,1.96901,0.0,0.0,0.7688347484451867,23.9131744449,54.3308887571,0.0,5006.739,980.97797,-0.009708489,0.00022464065,,0.30607086
8,ARG,32.0,Argentina,-1.4368485,-1.4583397,0.029794,0.084395446,-0.99977016,0.061864097,0.01419282,0.035512242,1939.0925,6.625828,0.083319284,1.1,0.09531018,1956.5,0.3246729,-0.73323107,0.8941828,38.402626,0.19885647,0.77371347,0.76716363,-0.42518437,-0.5804328,1.8776197,0.25775358,9.317738,0.63854855,1.608988,-0.41,,,,,,30.0,,0.03654049,0.07308098,0.10303224,0.7247375,7274.966,34.0,0.271642,Americas,9.335382158273406,0.7260408,0.85,0.034,0.048,0.002,0.02,0.0,0.001,0.4157833,1356.74,1912.64,3033.52,0.7746106347558306,-35.3958997626,-65.1704989912,0.0,-8402.683,-5031.852,-0.010104245,-0.015508542,,0.19354992
9,ARM,51.0,Armenia,-0.55314255,-0.3538423,0.088023715,0.057968624,-1.033284,0.98055816,0.057968624,0.02934124,1902.605,,,,,,,,-0.497232,21.196955,1.5289749,1.6542135,-1.4870983,-0.45460075,-1.0320507,2.1337807,0.40032926,0.1612758,0.36722276,2.4184918,1.42,,,,,,,,0.63829786,1.0638298,2.6595745,0.74327195,8015.0,40.0,0.420939,Asia,8.152315833033384,-1.9803731,0.046,0.003,0.009,0.782,0.027,0.0,0.0,0.13555883,1590.86,5846.47,9642.9,2.6884224652151705,40.293682206,44.9381949369,0.0,3987.9976,2533.793,-0.007369798,-0.009833679,,-0.83329684
10,ASM,16.0,American Samoa,0.6720599,0.783056,0.0,1.0,0.16137387,0.875,1.0,1.0,1874.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,,14.333333,,Oceania,,,,,,,,,,,,,,2.6468095607735775,-14.2000746659,-170.387605453,100.0,-20076.752,-2707.9128,-0.035616122,0.041911718,,
11,ATA,9040.0,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,1106.4585,-7796.7197,,,,
12,ATG,28.0,Antigua and Barbuda,1.3912995,1.2703141,1.0,2.0,1.4295459,1.0,1.0,1.0,1960.0,,,,,,,,,,,,,,,,,0.25399637,0.98159,,,,,,,,,,0.44332135,0.88664275,1.329964,,,17.05,,Americas,9.551426218153663,-1.4636931,0.115,0.642,0.177,0.0,0.004,0.001,0.0,0.0,,,,0.0062263581898636434,17.2711458375,-61.8000889416,100.0,-7930.916,517.6157,0.03189181,0.007884481,,-0.87448525
13,AUS,36.0,Australia,-1.0297173,-0.9967809,0.25997862,0.18956922,-0.8663917,0.054780345,0.10631313,0.5460016,1923.4995,7.1214123,0.20370851,0.633333333333333,-0.4567584,1978.5,2.326228,-0.55466044,0.9425963,32.944607,-1.1798812,0.5484408,1.202509,1.459112,0.89839375,1.3521533,-0.391411,38.50188,1.3198353e-05,0.0,-1.7,70.6125,41.125,,4.4,42.3,9.0,,0.02603387,0.02603387,0.02603387,0.7254786,5875.408,27.0,0.35488698,Oceania,10.159467623915074,-2.5866024,0.26,0.322,0.178,0.034,0.012,0.003,0.013,0.61734843,552.192,852.941,1232.21,0.14333531001434321,-25.732506072,134.486791412,14.680003945458534,13835.739,-4496.323,-0.011071458,-0.011295117,57.7,0.8331105
14,AUT,40.0,Austria,-0.9984942,-0.8817343,0.001664258,0.0,-1.106798,0.5862737,0.011353938,0.011598539,1949.9976,7.4038396,0.01704,,,,0.73408186,-1.7791458,,19.00789,,,,0.5527367,0.5330535,1.5825461,-1.5608201,,,1.1718875,-1.27,,,,6.8,,20.0,68.181816,6.0642815,8.489994,24.257126,0.73689777,6577.5,47.333332,0.0794891,Europe,10.203583506452631,-3.3137653,0.755,0.05,0.073,0.019,0.022,0.0,0.001,0.0,1201.05,5015.21,8094.65,3.5131805634261775,47.5885290039,14.1400341639,0.0,570.2389,3177.493,-0.010689623,-0.011825122,,0.8221966
15,AZE,31.0,Azerbaijan,0.21397384,0.22331616,0.3134277,1.0185649,0.1849174,0.80286586,0.98208964,0.1374231,1946.2756,0.0,0.15935001,,,,,,-1.2620449,18.741678,2.3040187,0.93066573,0.25745052,-0.49362016,-0.3758225,2.0507393,-0.46202615,,,0.0,1.75,,,,,,,,0.63829786,1.0638298,2.6595745,0.74012524,7905.0,40.5,0.696768,Asia,8.18617697768723,-1.3859199,0.001,0.0,0.001,0.045,0.837,0.0,0.0,0.6040422,1846.26,5490.08,9375.81,1.671540745226919,40.2882500494,47.5279719767,0.0,4276.239,2528.319,-0.007549971,-0.009848298,,-0.47509095
16,BDI,108.0,Burundi,1.2038525,1.038293,2.0,2.0,1.4295459,0.5,1.0,1.0,1910.0,0.0,0.0,,,,,,,,,,,,,,,4.987281,0.00020044413,3.6690578,,,,,,,,,,11.916584,24.826216,0.76129365,3484.0,3.5,1.00966,Africa,6.549427172040442,4.0761127,0.572,0.195,0.15,0.0,0.014,0.001,0.0,0.0022269485,1588.43,0.0,0.0,1.7797042321027061,-3.3652460544,29.8865772332,75.35375738491533,2234.8645,-1913.1263,0.029430788,0.0054643634,,-0.84608614
17,BEL,56.0,Belgium,-1.2691753,-1.216782,0.03920431,0.0,-1.106798,0.29738033,0.0,0.0,1944.3613,9.69521,0.0,1.0,0.0,1955.0,1.6438795,-1.422004,,36.73525,,,,0.40486902,0.4986518,1.3654847,-0.7264457,47.230534,0.0,1.3137219,-1.27,,,30.325,5.6,,28.0,,8.469791,11.293055,35.290794,0.7300649,5539.4,50.833332,0.0383926,Europe,10.113015380868418,-3.1302655,0.809,0.013,0.055,0.005,0.036,0.0,0.002,0.0,1597.37,7285.53,11312.9,0.38779686687971804,50.6417998237,4.66082957462,0.0,-480.94992,3418.4644,-0.010715959,-0.01190346,,0.8440219
18,BEN,204.0,Benin,0.75243956,0.47953638,0.008882205,2.0,1.4295459,0.6086136,1.0,1.0,1904.6875,0.0,0.0,,,,,,,,,,,,,,,6.934698,0.070690595,3.9398386,0.35,,,,,,,,1.1814605,2.7567413,4.3320217,0.74344903,3099.9,9.5,0.352174,Africa,7.1320769408538425,4.1386433,0.208,0.038,0.034,0.0,0.2,0.0,0.0,0.029197289,1611.22,0.0,0.0,0.14114121998886137,9.6496083087,2.33928415053,97.48924860569808,-806.2861,-426.02124,0.034846965,-0.0027643035,,-0.707194
19,BFA,854.0,Burkina Faso,0.96393156,0.74588704,0.114840895,1.9886681,1.415175,0.83851767,1.0,0.94563824,1921.9005,0.0,0.0,65.8,4.1866198,1995.0,-1.0855135,,0.715642,70.46936,0.31127104,0.44775406,0.8898544,-0.8114683,-1.1478133,2.8014607,,4.304587,0.2719509,0.0,,,,,,,,,1.1814605,2.7567413,4.3320217,0.7410299,2900.0,13.0,0.73184496,Africa,6.838628086452963,5.319701,0.095,0.065,0.005,0.0,0.486,0.0,0.0,0.09193974,1257.3,0.0,0.0,0.23646133088135268,12.2735150162,-1.74676353948,49.82000666128512,-1256.1185,-133.1977,0.03446656,-0.0050760168,,-0.15063877
20,BGD,50.0,Bangladesh,0.6166539,0.716657,0.12797903,0.9945852,0.15450698,0.91187704,0.99242574,0.7685522,1932.5488,0.0,0.0,12.15,2.4973292,1971.0,-0.8580641,,,19.107439,,,,-0.28222013,,2.8328912,-0.05715074,1.1550294,0.721186,3.5379367,0.88,,,,,,,,8.775915,19.874866,25.811514,0.71176815,5560.0,24.0,0.041123502,Asia,7.523565713470761,0.59622246,0.002,0.001,0.0,0.0,0.857,0.123,0.006,0.02544065,1538.0,0.0,0.0,0.18641045730851716,23.8483897823,90.2703003459,75.03817542532649,9006.777,904.8437,-0.011253364,0.003438842,,-0.4844395
21,BGR,100.0,Bulgaria,-0.45021054,-0.23181424,0.9882592,0.07131941,-1.0163528,0.8234387,0.05778481,0.019662876,1939.0072,0.10012999,5.0760784,,,,-0.40316525,0.15962255,-0.8331975,19.92344,1.8511666,0.26873603,-0.09652752,-0.12503268,-1.2364951,1.4039932,-0.26617643,4.8108754,0.7683854,4.7877707,1.21,,,,,62.53,46.0,,4.51957,7.231312,7.231312,0.74250174,7521.96,43.0,0.0730677,Europe,8.889791139410605,-2.698547,0.011,0.012,0.073,0.716,0.119,0.0,0.0,0.0010548311,2277.06,6842.21,12011.8,1.4794745656904222,42.7653474991,25.2387450842,0.0,1798.9752,2777.6873,-0.007892922,-0.013068752,37.47,-0.66498554
