hwk,ex1
35.00,5.00
50.00,86.00
43.71,88.00
55.00,90.00
41.14,85.00
52.14,74.00
21.43,76.00
53.29,90.00
49.00,50.00
57.14,100.00
0.00,0.00
55.71,60.00
55.71,80.00
51.86,75.00
31.43,0.00
53.29,78.00
41.71,20.00
57.14,100.00
50.71,72.00
32.86,30.00
52.57,62.00
45.43,85.00
57.14,90.00
39.29,72.00
55.71,75.00
17.43,50.00
47.71,95.00
50.00,60.00
36.14,88.00
41.43,0.00
47.86,90.00
50.00,100.00
52.86,70.00
34.71,60.00
51.43,90.00
53.29,75.00
54.29,100.00
47.14,0.00
47.14,30.00
54.00,95.00
51.86,60.00
55.14,95.00
40.00,50.00
51.14,60.00
41.14,74.00
44.29,50.00
47.86,72.00
47.86,80.00
46.14,75.00
0.00,0.00
55.43,88.00
55.71,80.00
55.71,82.00
55.71,96.00
54.29,0.00
51.86,72.00
0.00,0.00
51.43,78.00
0.00,0.00
51.86,60.00
