pressure,time pressure,delay,time delay,sex,age,education,particip
4,103.708,,,1,30,5,2
6,95.276,,,2,46,6,1
6,78.014,,,1,31,6,2
2,76.758,,,2,24,6,2
6,73.287,,,1,29,4,1
11,67.76,,,1,26,6,5
6,65.026,,,1,46,5,2
1,64.455,,,1,33,6,2
2,59.694,,,2,34,5,2
11,55.913,,,1,62,5,4
1,55.155,,,2,25,6,3
1,54.031,,,1,31,5,2
4,52.676,,,1,24,3,3
6,51.427,,,1,28,5,2
3,49.235,,,1,35,5,2
3,47.142,,,1,50,5,4
1,46.22,,,1,65,5,3
3,45.355,,,1,54,5,3
1,45.168,,,1,43,6,1
1,45.037,,,1,24,6,2
11,44.123,,,2,36,6,4
1,42.328,,,2,34,6,1
2,42.214,,,2,40,5,2
2,41.263,,,2,47,5,2
1,40,,,2,32,6,1
6,39.939,,,1,36,6,1
1,39.817,,,2,28,6,1
2,39.111,,,1,23,5,1
6,38.115,,,1,33,6,3
2,38.085,,,1,29,6,4
6,37.064,,,1,27,6,2
1,36.448,,,1,34,6,2
2,36.341,,,2,23,6,3
4,36.012,,,2,40,5,2
4,35.967,,,1,37,5,4
6,35.468,,,1,39,5,5
5,34.8,,,1,24,6,2
1,34.388,,,1,28,5,1
4,32.957,,,2,25,5,4
1,32.776,,,1,35,6,2
1,32.693,,,1,27,6,2
2,32.568,,,1,24,5,1
1,31.744,,,1,34,5,3
1,31.358,,,2,18,2,2
6,30.325,,,1,23,5,4
1,30.017,,,1,22,5,1
2,28.717,,,1,38,5,1
6,28.607,,,2,44,5,1
6,28.455,,,2,27,6,2
1,27.733,,,1,27,5,1
5,27.587,,,1,31,5,2
6,27.189,,,1,21,5,3
9,26.74,,,1,31,5,4
1,26.213,,,1,22,4,2
1,24.867,,,1,28,6,4
1,24.796,,,1,31,6,2
6,24.634,,,1,37,6,2
11,22.866,,,1,28,5,4
1,22.752,,,2,25,5,5
1,22.714,,,1,43,5,1
6,22.512,,,2,37,6,1
1,22.214,,,1,26,5,1
11,21.472,,,1,27,5,2
1,21.338,,,1,28,5,1
7,21.133,,,1,26,5,4
2,21.054,,,1,29,6,2
1,20.94,,,1,34,5,2
5,20.698,,,1,28,6,1
3,20.472,,,1,23,5,2
2,20.368,,,1,24,5,1
1,20.314,,,2,31,6,3
6,19.722,,,1,33,6,2
6,19.306,,,1,31,6,2
1,19.177,,,1,22,6,4
4,18.909,,,1,29,6,2
2,18.618,,,1,35,5,2
6,17.965,,,2,42,6,2
4,17.786,,,1,21,4,1
1,17.779,,,1,39,5,5
1,17.72,,,1,34,6,5
1,17.519,,,1,46,6,1
6,17.432,,,1,21,6,5
1,17.363,,,2,29,5,4
4,17.141,,,2,42,5,3
5,16.894,,,2,61,5,2
6,16.619,,,1,25,6,2
1,16.365,,,1,48,6,2
5,16.29,,,1,33,5,2
4,15.878,,,1,23,5,5
3,15.873,,,1,21,4,2
