Variables ,description of variables,Codes 
group,group,1.00=Intervention; 2= control
Student code,Student code,code numbers
weight ,weight ,in Kilogram
height,height,in centimeters
BMI,BMI,"in Kilogram/meter square  (kg/m²), calculated as weight (kg) / height (m²)"
experience of behavioral thearpy,experience of behavioral thearpy,"1.00= yes, 2=No, 3=don't know"
experience of calculated calories,experience of calculated calories,"1.00= yes, 2=No, 3=don't know"
experience of physical exercises,experience of physical exercises,"1.00= yes, 2=No, 3=don't know"
experience of medical therapy,experience of medical therapy,"1.00= yes, 2=No"
motivator/desire to control weight,motivator/desire to control weight,"1.00= healthy, 2= appearance, 3=healthy and appearance"
severityEM1,Being  overweight  could … Make me feel anxious and stressed,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severityEM2,Being  overweight  could … Cause others to find me less physically attractive.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severityEM3,Being  overweight  could … Make me unhappy and depressed .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severityEM4,Being  overweight  could … Lower my self-esteem .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severityPHY5,Being  overweight  could … Makes it harder to do the physical activity or sports that I enjoy .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severityPHY6,Being  overweight  could … Makes it harder to get enough sleep .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severityPHY7,Being  overweight  could … Cause pain in my knees .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severityPHY8,Being  overweight  could … Have an adverse effect on my health in years to,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severityPHY9,"Being  overweight  could … increases my risk for diabetes, high blood pressure, cancer and other illnesses.","5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severitySOC10,Being  overweight  could … Make it harder to make friends.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severitySOC11,Being  overweight  could … Makes it harder to get a job because of a lack of  fitness,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severitySOC12,Being  overweight  could … Take fun out of socializing with friends.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
severitySOC13,Being  overweight  could … Makes me unable to wear clothes I want .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
susceptLifestyle1,  I could  become  susceptible  to being  overweight  if… I get <30 min of moderate-intensity physical  activity on most days,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
susceptLifestyle2," I could  become  susceptible  to being  overweight  if… I consume sugary beverages, foods, or snacks  daily or on most days","5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
susceptLifestyle3, I could  become  susceptible  to being  overweight  if… I eat fried foods or snacks daily or on most days .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
